,area,bedrooms,property_type,rooms,year_built
574,60,2,1,4,1906
575,48,2,1,3,1906
576,205,2,1,4,1906
577,100,3,0,4,1917
578,98,2,1,3,1997
579,74,1,1,3,1720
580,114,3,1,4,2017
581,154,3,1,4,2017
582,93,3,1,4,2010
583,131,4,1,5,2017
584,128,3,1,5,1929
585,143,3,1,4,2017
586,63,2,0,3,1906
587,140,3,0,4,2017
588,75,1,1,3,1930
589,90,2,1,3,2001
590,98,3,1,4,1906
591,134,3,0,4,2017
592,75,2,1,3,1976
593,107,4,0,5,1998
594,41,1,1,2,2004
595,165,3,0,5,2001
596,36,1,1,2,1906
597,89,2,1,3,2003
598,98,2,1,3,1906
599,103,2,1,3,1890
600,44,1,1,2,1906
601,117,2,1,3,1906
602,146,3,1,6,1911
603,125,3,0,4,1993
604,55,1,1,2,1901
605,67,2,1,3,1930
606,200,4,0,6,1999
607,48,1,1,2,1926
608,84,3,0,5,1971
609,141,3,0,4,2017
610,73,2,1,3,1955
611,122,2,1,4,1690
612,99,3,1,4,1978
613,77,2,1,3,1879
614,55,1,1,2,1936
615,44,1,1,2,1994
616,61,2,1,3,1994
617,58,1,1,2,1904
618,70,2,1,3,1984
619,82,2,0,3,1955
620,52,1,1,2,1931
621,156,3,1,5,1883
622,115,4,0,5,1984
623,140,4,0,6,1978
624,112,3,0,4,2004
625,82,2,1,3,2007
626,50,2,1,3,1906
627,53,1,1,2,1906
628,112,3,0,4,1995
629,70,2,1,3,1991
630,110,3,1,4,1906
631,100,4,1,5,1906
632,88,2,1,3,1999
633,114,3,1,4,1906
634,56,1,1,2,1984
635,115,2,1,3,2010
636,66,1,1,2,1981
637,108,3,1,4,2008
638,81,1,1,2,1900
639,157,3,1,4,2008
640,76,2,1,3,1879
641,113,2,1,3,1928
642,92,2,1,3,1906
643,79,2,1,3,1960
644,30,1,1,1,1985
645,83,2,1,3,2004
646,67,2,1,3,1963
647,95,2,1,3,2001
648,46,1,1,1,1906
649,105,4,0,5,1981
650,67,2,1,3,1965
651,137,4,1,5,1981
652,156,2,0,5,1920
653,45,1,1,1,1906
654,44,1,1,1,1906
655,63,1,1,2,1906
656,56,1,1,2,1906
657,121,4,1,5,2009
658,60,2,1,3,1906
659,50,2,1,3,1928
660,35,1,1,2,1906
661,76,2,1,3,2004
662,62,1,1,2,1977
663,91,3,1,4,1945
664,115,4,0,5,1987
665,150,4,0,6,1891
666,111,3,1,4,1992
667,88,3,1,4,2000
668,96,3,1,4,1960
669,53,1,1,2,1975
670,63,3,1,4,1930
671,90,2,1,3,2007
672,80,2,1,3,1998
673,54,1,1,2,1973
674,75,2,1,3,1989
675,119,3,1,5,1890
676,47,1,1,2,1906
677,90,3,1,4,2009
678,64,2,1,4,1931
679,80,2,1,3,1981
680,144,4,1,5,2010
681,203,3,0,4,2017
682,48,1,1,2,1965
683,162,4,1,5,2010
684,156,4,1,6,2010
685,232,5,0,7,1700
686,355,4,0,10,1898
687,72,1,1,2,1998
688,50,2,1,3,1906
689,167,3,0,5,1962
690,95,2,1,3,1906
691,203,3,0,4,2017
692,114,3,1,6,1906
693,96,1,1,2,1998
694,412,6,0,12,1884
695,92,2,1,3,2001
696,98,2,1,3,1906
697,75,2,0,3,1955
698,109,3,1,4,1906
699,70,2,1,3,1987
700,69,2,1,3,1987
701,85,2,1,3,1931
702,134,3,0,4,2016
703,56,2,1,3,1683
704,64,2,1,3,1906
705,40,1,1,2,1912
706,172,5,0,6,2005
707,122,4,0,6,1906
708,48,2,1,3,1939
709,52,2,1,3,2005
710,49,1,1,2,1890
711,110,2,1,3,1999
712,100,2,1,3,1922
713,50,2,1,3,1934
714,76,3,1,4,1984
715,52,2,1,3,1934
716,41,1,1,2,1905
717,101,3,1,4,2010
718,115,2,1,3,1968
719,42,1,1,2,1934
720,100,4,1,5,1996
721,73,1,1,3,1906
722,85,2,1,3,1906
723,110,1,0,4,2000
724,75,2,1,3,1906
725,78,2,1,4,1967
726,60,1,1,2,1989
727,52,1,1,2,1926
728,87,2,1,3,2008
729,168,4,0,5,2008
730,113,3,0,4,1956
731,75,2,1,3,1985
732,65,1,1,2,1981
733,125,2,1,3,1998
734,84,3,0,4,1931
735,48,1,1,2,1933
736,125,3,0,4,2007
737,43,1,1,2,1941
738,80,2,1,3,1924
739,50,1,0,2,1973
740,141,3,0,4,2017
741,51,2,1,4,1933
742,140,3,0,4,2017
743,122,4,0,5,2002
744,51,1,1,2,1974
745,96,3,0,4,1996
746,386,6,0,10,1896
747,89,2,1,3,1998
748,53,1,1,2,1970
749,94,2,1,3,1899
750,50,1,1,2,1895
751,190,3,1,4,1906
752,60,2,0,4,1945
753,147,4,0,5,1963
754,43,1,1,2,1983
755,52,1,1,2,1960
756,26,1,1,1,1906
757,86,2,1,3,2003
758,91,3,1,4,1977
759,25,1,1,1,1906
760,92,3,1,4,1994
761,85,3,1,4,1991
762,61,2,1,3,1988
763,83,4,0,5,1981
764,80,3,0,4,1945
765,183,1,1,3,1906
766,100,2,1,3,1897
767,73,2,0,3,1932
768,74,2,1,4,1906
769,112,2,1,3,2007
770,49,1,1,2,1926
771,32,1,1,2,1906
772,54,1,1,3,1930
773,60,1,1,2,1906
774,164,4,1,5,1966
775,80,2,1,4,1906
776,75,2,1,3,1918
777,120,3,1,5,1906
778,101,3,0,4,1986
779,116,3,1,5,1901
780,65,2,1,3,1933
781,71,3,0,4,1953
782,80,3,1,4,2008
783,100,3,1,4,1969
784,47,2,1,3,1931
785,77,2,1,3,1882
786,47,2,1,3,1906
787,145,3,1,4,1902
788,58,1,1,2,1970
789,303,4,1,6,1615
790,42,1,1,2,1988
791,173,3,0,4,2016
792,53,2,1,3,1906
793,76,2,1,3,2009
794,193,3,0,4,2016
795,72,2,1,3,1980
796,77,1,1,2,1998
797,104,3,0,4,2016
798,52,2,1,3,1906
799,188,3,1,4,1906
800,75,3,1,4,1967
801,102,2,1,3,2001
802,59,2,1,3,1931
803,46,1,1,2,1984
804,63,1,1,2,1935
805,118,2,1,3,2001
806,48,1,1,3,1935
807,36,1,1,2,1921
808,57,1,1,2,1924
809,46,1,1,2,1910
810,104,2,1,4,1998
811,78,2,1,3,2000
812,35,1,1,2,1989
813,54,2,1,3,1906
814,105,2,1,3,1700
815,105,4,0,5,1960
816,123,3,0,5,1981
817,51,1,1,2,1986
818,91,2,1,3,2008
819,96,2,1,3,2001
820,123,5,0,7,1953
821,140,3,0,4,2017
822,60,2,1,3,1990
823,196,3,0,4,2017
824,76,2,1,3,1930
825,91,3,1,4,1928
826,88,2,1,3,1935
827,55,2,1,3,1900
828,86,2,1,3,2009
829,85,3,1,4,1965
830,119,2,1,3,1906
831,82,3,0,4,2007
832,75,2,1,3,1963
833,52,2,1,3,2001
834,57,3,1,4,1950
835,50,2,1,3,1931
836,106,4,1,5,1982
837,42,2,1,3,1899
838,144,2,1,3,2003
839,40,1,1,2,1981
840,75,2,1,3,1923
841,55,2,1,3,1934
842,54,1,1,2,1920
843,85,3,1,4,1981
844,71,2,1,3,1960
845,83,2,1,4,1906
846,100,3,1,4,2005
847,162,3,0,4,2016
848,161,3,0,4,2016
849,122,2,1,3,2013
850,82,3,1,4,1906
851,67,2,1,3,1981
852,71,2,1,3,1906
853,51,1,1,2,1926
854,225,4,1,8,1906
855,94,2,1,3,1906
856,150,3,1,4,1900
857,54,2,1,3,1906
858,99,2,1,4,1960
